time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2018-07-14 03:00:00,23.8,22.2,91.0,,,230.0,3.6,,1002.7,,
2018-07-15 03:00:00,22.8,22.0,95.0,,,230.0,3.6,,1002.2,,
2018-07-16 03:00:00,23.6,22.4,93.0,,,250.0,3.6,,1001.7,,
2018-07-16 12:00:00,23.6,23.3,98.0,,,200.0,3.6,,1000.8,,
2018-07-17 03:00:00,24.2,22.3,89.0,,,250.0,3.6,,1002.6,,
2018-07-17 12:00:00,24.8,23.4,92.0,,,300.0,3.6,,1001.1,,
2018-07-18 03:00:00,24.8,22.1,85.0,,,200.0,3.6,,1004.4,,
2018-07-19 03:00:00,24.0,21.3,85.0,,,250.0,3.6,,1006.1,,
2018-07-19 12:00:00,29.4,21.4,62.0,,,230.0,3.6,,1000.4,,
2018-07-20 03:00:00,24.0,21.3,85.0,,,230.0,3.6,,1004.9,,
2018-07-20 12:00:00,25.6,25.6,100.0,,,230.0,3.6,,1001.0,,
2018-07-21 03:00:00,23.2,21.1,88.0,,,230.0,3.6,,1005.7,,
2018-07-22 03:00:00,24.0,21.3,85.0,,,230.0,3.6,,1006.1,,
2018-07-23 03:00:00,23.4,21.3,88.0,,,230.0,3.6,,1005.7,,
2018-07-23 12:00:00,25.2,21.1,78.0,,,270.0,3.6,,1002.4,,
2018-07-24 03:00:00,23.6,21.1,86.0,,,230.0,3.6,,1006.8,,
2018-07-24 12:00:00,29.2,21.4,63.0,,,230.0,3.6,,1003.2,,
2018-07-25 03:00:00,24.4,21.5,84.0,,,230.0,3.6,,1006.8,,
2018-07-25 12:00:00,29.0,19.9,58.0,,,230.0,3.6,,1003.4,,
2018-07-26 03:00:00,24.4,20.5,79.0,,,200.0,3.6,,1007.6,,
2018-07-26 12:00:00,26.2,20.3,70.0,,,300.0,3.6,,1005.1,,
2018-07-27 03:00:00,24.8,24.8,100.0,,,230.0,3.6,,1007.6,,
2018-07-27 12:00:00,27.8,21.1,67.0,,,250.0,3.6,,1004.0,,
2018-07-28 03:00:00,24.8,21.3,81.0,,,230.0,3.6,,1006.8,,
2018-07-28 12:00:00,30.0,20.3,56.0,,,300.0,3.6,,1002.4,,
2018-07-29 03:00:00,23.4,20.9,86.0,,,300.0,3.6,,1006.8,,
2018-07-29 12:00:00,29.6,19.6,55.0,,,230.0,3.6,,1003.2,,
2018-07-30 03:00:00,24.8,20.5,77.0,,,270.0,3.6,,1006.8,,
2018-07-30 12:00:00,29.0,19.9,58.0,,,230.0,3.6,,1002.8,,
2018-07-31 03:00:00,24.6,21.1,81.0,,,270.0,3.6,,1006.8,,
2018-07-31 12:00:00,27.6,20.2,64.0,,,230.0,3.6,,1003.6,,
2018-08-01 03:00:00,25.0,21.1,79.0,,,270.0,3.6,,1007.0,,
2018-08-01 12:00:00,29.0,19.9,58.0,,,270.0,3.6,,1003.6,,
2018-08-02 03:00:00,23.8,22.2,91.0,,,230.0,3.6,,1008.4,,
2018-08-02 12:00:00,30.2,21.0,58.0,,,270.0,3.6,,1004.5,,
2018-08-03 03:00:00,25.0,21.5,81.0,,,290.0,3.6,,1009.1,,
2018-08-03 12:00:00,30.0,20.3,56.0,,,270.0,3.6,,1004.9,,
2018-08-04 03:00:00,25.0,21.5,81.0,,,230.0,3.6,,1008.9,,
2018-08-04 12:00:00,29.4,21.4,62.0,,,230.0,3.6,,1004.5,,
2018-08-05 03:00:00,24.6,21.1,81.0,,,230.0,3.6,,1009.1,,
2018-08-06 03:00:00,24.2,20.7,81.0,,,270.0,3.6,,1006.8,,
2018-08-06 12:00:00,28.4,20.2,61.0,,,230.0,3.6,,1002.8,,
2018-08-07 03:00:00,23.6,20.3,82.0,,,230.0,3.6,,1005.7,,
2018-08-07 12:00:00,27.2,19.5,63.0,,,290.0,3.6,,1000.8,,
2018-08-08 03:00:00,22.8,21.1,90.0,,,250.0,3.6,,1004.3,,
2018-08-08 12:00:00,27.4,21.0,68.0,,,230.0,3.6,,1001.5,,
2018-08-09 03:00:00,23.8,21.5,87.0,,,230.0,3.6,,1007.2,,
2018-08-09 12:00:00,28.8,21.1,63.0,,,270.0,3.6,,1005.0,,
2018-08-10 03:00:00,25.6,20.8,75.0,,,230.0,3.6,,1008.5,,
2018-08-11 03:00:00,23.0,21.3,90.0,,,290.0,3.6,,1007.5,,
2018-08-11 12:00:00,24.8,22.1,85.0,,,270.0,3.6,,1003.4,,
2018-08-12 03:00:00,21.8,21.8,100.0,,,230.0,3.6,,1006.8,,
2018-08-12 12:00:00,24.0,22.3,90.0,,,250.0,3.6,,1002.5,,
2018-08-13 03:00:00,22.6,,,,,290.0,3.6,,1004.3,,
2018-08-14 03:00:00,23.8,21.9,89.0,,,270.0,3.6,,1004.9,,
2018-08-14 12:00:00,26.4,22.7,80.0,,,230.0,3.6,,1001.0,,
2018-08-15 03:00:00,23.4,21.7,90.0,,,340.0,3.6,,1004.1,,
2018-08-16 03:00:00,23.4,21.7,90.0,,,340.0,3.6,,1004.1,,
2018-08-16 12:00:00,23.8,21.9,89.0,,,230.0,3.6,,999.8,,
2018-08-17 03:00:00,21.6,21.6,100.0,,,230.0,3.6,,1003.0,,
2018-08-18 03:00:00,23.8,22.1,90.0,,,230.0,3.6,,1004.7,,
2018-08-23 03:00:00,23.6,22.0,91.0,,,230.0,3.6,,1007.2,,
2018-08-25 03:00:00,23.0,21.3,90.0,,,290.0,3.6,,1008.6,,
2018-08-26 03:00:00,23.0,21.5,91.0,,,230.0,3.6,,1007.1,,
2018-08-27 03:00:00,22.6,21.9,96.0,,,290.0,3.6,,1007.1,,
2018-08-27 12:00:00,25.8,22.1,80.0,,,270.0,3.6,,1003.6,,
2018-08-28 03:00:00,22.8,21.3,91.0,,,270.0,3.6,,1006.5,,
2018-08-29 03:00:00,23.0,20.9,88.0,,,230.0,3.6,,1008.4,,
2018-08-29 12:00:00,28.2,20.5,63.0,,,270.0,3.6,,1004.4,,
2018-08-30 03:00:00,24.0,20.7,82.0,,,290.0,3.6,,1008.4,,
2018-08-30 12:00:00,28.2,21.2,66.0,,,270.0,3.6,,1003.8,,
2018-08-31 03:00:00,24.2,20.7,81.0,,,290.0,3.6,,1008.1,,
2018-09-01 03:00:00,23.0,20.5,86.0,,,290.0,3.6,,1009.6,,
2018-09-03 03:00:00,23.2,21.1,88.0,,,230.0,3.6,,1010.3,,
2018-09-03 12:00:00,28.0,22.3,71.0,,,270.0,3.6,,1006.2,,
2018-09-04 03:00:00,23.8,20.5,82.0,,,290.0,3.6,,1011.1,,
2018-09-04 12:00:00,29.0,21.5,64.0,,,270.0,3.6,,1005.8,,
2018-09-05 03:00:00,24.0,20.3,80.0,,,340.0,3.6,,1010.5,,
2018-09-05 12:00:00,27.6,22.5,74.0,,,340.0,3.6,,1006.2,,
2018-09-06 03:00:00,22.8,20.3,86.0,,,270.0,3.6,,1009.4,,
2018-09-06 12:00:00,26.8,21.3,72.0,,,290.0,3.6,,1004.6,,
2018-09-07 12:00:00,26.8,21.6,73.0,,,270.0,3.6,,1005.5,,
2018-09-09 03:00:00,23.8,19.5,77.0,,,290.0,3.6,,1009.4,,
2018-09-10 03:00:00,25.8,19.9,70.0,,,70.0,3.6,,1012.0,,
2018-09-10 12:00:00,29.8,20.9,59.0,,,20.0,3.6,,1009.0,,
